21:09:17.266394 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1466409:1470753, ack 1, win 83, options [nop,nop,TS val 4187289533 ecr 273771431], length 4344
21:09:17.266530 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1470753:1485233, ack 1, win 83, options [nop,nop,TS val 4187289533 ecr 273771432], length 14480
21:09:17.266676 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1485233:1512745, ack 1, win 83, options [nop,nop,TS val 4187289533 ecr 273771432], length 27512
21:09:17.266769 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1512745:1521433, ack 1, win 83, options [nop,nop,TS val 4187289533 ecr 273771432], length 8688
21:09:17.266843 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1521433:1540257, ack 1, win 83, options [nop,nop,TS val 4187289533 ecr 273771432], length 18824
21:09:17.266990 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1540257:1572113, ack 1, win 83, options [nop,nop,TS val 4187289533 ecr 273771432], length 31856
21:09:17.267082 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1572113:1572865, ack 1, win 83, options [nop,nop,TS val 4187289533 ecr 273771432], length 752
21:09:18.265993 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1572865:1580105, ack 1, win 83, options [nop,nop,TS val 4187290532 ecr 273771433], length 7240
21:09:18.266188 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1580105:1587345, ack 1, win 83, options [nop,nop,TS val 4187290533 ecr 273771433], length 7240
21:09:18.266361 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1587345:1597481, ack 1, win 83, options [nop,nop,TS val 4187290533 ecr 273772431], length 10136
21:09:18.266505 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1597481:1611961, ack 1, win 83, options [nop,nop,TS val 4187290533 ecr 273772432], length 14480
21:09:18.266596 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1611961:1616305, ack 1, win 83, options [nop,nop,TS val 4187290533 ecr 273772432], length 4344
21:09:18.266743 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1616305:1643817, ack 1, win 83, options [nop,nop,TS val 4187290533 ecr 273772432], length 27512
21:09:18.266885 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1643817:1652505, ack 1, win 83, options [nop,nop,TS val 4187290533 ecr 273772432], length 8688
21:09:18.266983 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1652505:1671329, ack 1, win 83, options [nop,nop,TS val 4187290533 ecr 273772432], length 18824
21:09:18.267340 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1671329:1703185, ack 1, win 83, options [nop,nop,TS val 4187290534 ecr 273772432], length 31856
21:09:18.267481 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1703185:1703937, ack 1, win 83, options [nop,nop,TS val 4187290534 ecr 273772432], length 752
21:09:19.265967 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1703937:1711177, ack 1, win 83, options [nop,nop,TS val 4187291532 ecr 273772433], length 7240
21:09:19.266153 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1711177:1718417, ack 1, win 83, options [nop,nop,TS val 4187291533 ecr 273772433], length 7240
